time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity_cmd,right_velocity_cmd,left_velocity_encoder,right_velocity_encoder,voltage
0.0,,,,,,,0.0000,-0.0000,0.0000,0.0000,52.3521
0.5,,,,,,,0.0000,-0.0000,0.0000,0.0000,52.3367
1.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,-0.0229,52.3214
1.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.3367
2.0,,,,,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.3214
2.5,,,,,-0.0013,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.3214
3.0,,,,,0.0025,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.3367
3.5,,,,,0.0034,-0.0011,0.0000,-0.0000,0.0000,-0.0229,52.3521
4.0,0.0000,0.0000,0.0000,1.0000,0.0011,0.0022,0.0000,-0.0000,0.0000,0.0000,52.3061
4.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.3214
5.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
5.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.3061
6.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.3367
6.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.3521
7.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0056,0.0000,-0.0000,0.0000,0.0000,52.3367
7.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.3367
8.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.3367
8.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.3827
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.3214
9.5,0.0000,0.0000,0.0000,1.0000,-0.0003,-0.0022,0.0000,-0.0000,0.0000,0.0076,52.2908
10.0,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,52.3521
10.5,0.0000,0.0000,0.0000,1.0000,-0.0002,0.0022,0.0000,-0.0000,0.0000,0.0229,52.2908
11.0,0.0000,0.0000,0.0000,1.0000,-0.0035,0.0011,0.0000,-0.0000,0.0000,0.0000,52.3367
11.5,0.0000,0.0000,0.0000,1.0000,-0.0035,0.0022,0.0000,-0.0000,0.0000,0.0229,52.3521
12.0,0.0000,0.0000,0.0000,1.0000,-0.0010,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.3367
12.5,0.0000,0.0000,0.0000,1.0000,-0.0012,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.3061
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.3521
