time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity_cmd,right_velocity_cmd,left_velocity_encoder,right_velocity_encoder,voltage
0.0,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
0.5,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.1837
1.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
1.5,,,,,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.1837
2.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2296
2.5,,,,,0.0004,-0.0144,0.0000,-0.0000,0.0000,0.0000,52.1990
3.0,,,,,0.0017,-0.0044,0.0000,-0.0000,-0.0076,0.0229,52.1837
3.5,,,,,-0.0014,-0.0056,0.0000,-0.0000,0.0000,0.0000,52.2449
4.0,,,,,-0.0047,0.0056,0.0000,-0.0000,0.0000,0.0000,52.2296
4.5,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
5.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1837
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1531
6.0,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.1837
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
7.5,0.0000,0.0000,0.0000,1.0000,-0.0036,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.1990
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
8.5,0.0000,0.0000,0.0000,1.0000,0.0012,-0.0067,0.0000,-0.0000,0.0000,0.0000,52.1684
9.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.1990
9.5,0.0000,0.0000,0.0000,1.0000,0.0001,0.0044,0.0000,-0.0000,0.0000,-0.0076,52.2296
10.0,0.0000,0.0000,0.0000,1.0000,0.0029,-0.0033,0.0000,-0.0000,-0.0076,0.0076,52.2143
10.5,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.1990
11.0,0.0000,0.0000,0.0000,1.0000,-0.0001,-0.0078,0.0000,-0.0000,0.0000,0.0000,52.2296
11.5,0.0000,0.0000,0.0000,1.0000,0.0017,-0.0033,0.0000,-0.0000,-0.0076,0.0076,52.2602
12.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0044,0.0000,-0.0000,0.0000,0.0000,52.2296
12.5,0.0000,0.0000,0.0000,1.0000,0.0007,-0.0011,0.0000,-0.0000,-0.0076,0.0000,52.2143
13.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0022,0.0000,-0.0000,-0.0229,0.0000,52.1684
13.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.1990
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1531
15.5,0.0000,0.0000,0.0000,1.0000,-0.0003,-0.0056,0.0000,-0.0000,0.0000,0.0076,52.2602
16.0,0.0000,0.0000,0.0000,1.0000,0.0017,0.0033,0.0000,-0.0000,0.0000,0.0000,52.1531
16.5,0.0000,0.0000,0.0000,1.0000,0.0028,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
17.0,0.0000,0.0000,0.0000,1.0000,-0.0006,-0.0067,0.0000,-0.0000,-0.0076,0.0076,52.2143
17.5,0.0000,0.0000,0.0000,1.0000,0.0019,-0.0033,0.0000,-0.0000,0.0000,0.0076,52.2296
18.0,0.0000,0.0000,0.0000,1.0000,-0.0006,0.0056,0.0000,-0.0000,-0.0076,0.0076,52.2143
18.5,0.0000,0.0000,0.0000,1.0000,0.0010,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1990
19.0,0.0000,0.0000,0.0000,1.0000,-0.0016,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.1531
19.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1684
20.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1531
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1684
21.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
22.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.1990
22.5,0.0000,0.0000,0.0000,1.0000,0.0017,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2602
23.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,52.1837
23.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
24.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1837
24.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
25.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.1837
25.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
26.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
26.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2602
27.0,0.0000,0.0000,0.0000,1.0000,-0.0020,-0.0000,0.0000,-0.0000,0.0000,0.0076,52.2143
27.5,0.0000,0.0000,0.0000,1.0000,0.0033,-0.0022,0.0000,-0.0000,0.0000,-0.0229,52.2908
28.0,0.0000,0.0000,0.0000,1.0000,0.0031,0.0011,0.0000,-0.0000,0.0000,-0.0153,52.2296
28.5,0.0000,0.0000,0.0000,1.0000,-0.0192,0.0233,0.0477,-0.0713,-0.0229,0.0534,52.2602
29.0,0.0000,0.0000,0.0000,1.0000,-0.0011,0.0278,0.0739,-0.1101,0.0000,0.0076,52.2143
29.5,0.0000,0.0000,0.0000,1.0000,-0.0019,0.1000,0.0715,-0.1062,-0.0076,0.0000,52.2755
30.0,0.0000,0.0000,0.0000,1.0000,0.0102,0.0000,0.0933,-0.1379,0.0000,0.0000,52.1684
30.5,0.0000,0.0000,0.0000,1.0000,-0.0012,-0.0033,0.0724,-0.1071,0.0000,0.0000,52.2143
31.0,0.0000,0.0000,0.0000,1.0000,0.0059,0.0111,0.0820,-0.1211,0.0076,-0.0153,52.2296
31.5,0.0000,0.0000,0.0000,1.0000,0.0072,0.0689,0.0845,-0.1240,0.0000,-0.0458,52.2143
32.0,0.0000,0.0000,0.0000,1.0000,0.0153,0.1011,0.0972,-0.1408,0.0000,-0.0687,52.2143
32.5,0.0129,0.0011,0.0557,0.9984,0.0234,0.2178,0.1127,-0.1572,-0.0381,-0.1144,52.2143
33.0,0.0267,0.0034,0.1095,0.9940,0.0215,0.3589,0.1132,-0.1486,-0.0916,-0.1831,52.2143
33.5,0.0409,0.0073,0.2138,0.9769,0.0361,0.3589,0.1423,-0.1694,-0.0610,-0.2166,52.2143
34.0,0.0533,0.0132,0.2623,0.9650,0.0392,0.2989,0.1586,-0.1742,-0.0534,-0.1755,52.2296
34.5,0.0684,0.0226,0.3168,0.9485,0.0315,0.2422,0.1480,-0.1518,-0.0305,-0.1526,52.2755
35.0,0.0795,0.0317,0.3633,0.9317,0.0400,0.2200,0.1672,-0.1616,-0.0076,-0.1602,52.2143
35.5,0.0909,0.0437,0.4140,0.9103,0.0439,0.2267,0.1814,-0.1651,0.0000,-0.1526,52.2296
36.0,0.1028,0.0603,0.4607,0.8876,0.0463,0.2267,0.1910,-0.1643,0.0000,-0.1678,52.2602
36.5,0.1153,0.0801,0.5047,0.8633,0.0440,0.2367,0.1901,-0.1537,-0.0076,-0.1755,52.2296
37.0,0.1216,0.0981,0.5517,0.8340,0.0453,0.2189,0.1987,-0.1520,0.0000,-0.1678,52.2602
37.5,0.1322,0.1212,0.5951,0.8037,0.0354,0.2122,0.1821,-0.1332,-0.0076,-0.1450,52.1837
38.0,0.1363,0.1417,0.6340,0.7734,0.0357,0.2167,0.1879,-0.1302,-0.0229,-0.1373,52.2755
38.5,0.1406,0.1632,0.6732,0.7395,0.0346,0.2611,0.1861,-0.1235,-0.0229,-0.1755,52.2143
39.0,0.1410,0.1817,0.7113,0.7029,0.0260,0.1911,0.1728,-0.1110,-0.0229,-0.1144,52.2296
39.5,0.1403,0.2051,0.7521,0.6591,0.0256,0.2189,0.1715,-0.1068,-0.0229,-0.1221,52.2602
40.0,0.1370,0.2221,0.7846,0.6200,0.0117,-0.0144,0.1454,-0.0886,-0.0076,-0.0305,52.2143
40.5,0.1370,0.2221,0.7846,0.6200,-0.0272,-0.7278,0.0704,-0.0449,0.0000,0.5722,52.1684
