time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity_cmd,right_velocity_cmd,left_velocity_encoder,right_velocity_encoder,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
0.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
1.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
1.5,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2908
2.0,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2908
2.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2602
3.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
3.5,,,,,0.0027,-0.0011,0.0000,-0.0000,0.0000,-0.0229,52.2908
4.0,0.0000,0.0000,0.0000,1.0000,0.0025,0.0000,0.0000,-0.0000,0.0000,0.0000,52.3214
4.5,0.0000,0.0000,0.0000,1.0000,-0.0015,0.0000,0.0000,-0.0000,0.0000,0.0153,52.2449
5.0,0.0000,0.0000,0.0000,1.0000,-0.0016,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
5.5,0.0000,0.0000,0.0000,1.0000,0.0006,0.0011,0.0000,-0.0000,0.0000,0.0153,52.2908
6.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
6.5,0.0000,0.0000,0.0000,1.0000,-0.0008,0.0000,0.0000,-0.0000,0.0000,0.0229,52.2908
7.0,0.0000,0.0000,0.0000,1.0000,-0.0040,0.0000,0.0000,-0.0000,0.0000,0.0153,52.2908
7.5,0.0000,0.0000,0.0000,1.0000,-0.0042,0.0000,0.0000,-0.0000,0.0000,0.0153,52.2908
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.2755
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2908
9.0,0.0000,0.0000,0.0000,1.0000,-0.0050,0.0011,0.0000,-0.0000,0.0000,-0.0076,52.2449
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
10.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
10.5,0.0000,0.0000,0.0000,1.0000,-0.0063,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,52.2755
11.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
12.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2602
12.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2908
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.3061
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
15.0,0.0000,0.0000,0.0000,1.0000,0.0025,0.0011,0.0000,-0.0000,0.0076,0.0000,52.2908
15.5,0.0000,0.0000,0.0000,1.0000,0.0031,0.0022,0.0000,-0.0000,0.0000,-0.0229,52.2755
16.0,0.0000,0.0000,0.0000,1.0000,0.0036,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2602
16.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
17.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
17.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2755
18.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2755
18.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.2602
19.0,0.0000,0.0000,0.0000,1.0000,-0.0053,-0.0022,0.0000,-0.0000,-0.0076,0.0076,52.2755
19.5,0.0000,0.0000,0.0000,1.0000,0.0006,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2602
20.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,52.2755
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
